"ENTITY","CODE","YEAR","DEATHS_PER_100K","HIGHER_LVL_CAT","AGE_GROUP","ABS_DEATHS","TOTAL_ABS_DEATHS","DEATHS_PER_100K_BD"
"Southeast Asia",NA,2004,3.65269400069,"Regional","Under 5",2887.1168307,18678.48424345,0.564593689152646
"Southeast Asia",NA,2004,3.65269400069,"Regional","70 or older",1567.38790666,18678.48424345,0.306512473324418
"Southeast Asia",NA,2004,3.65269400069,"Regional","5-14",1653.41606707,18678.48424345,0.323335816231924
"Southeast Asia",NA,2004,3.65269400069,"Regional","15-49",9743.16101431,18678.48424345,1.9053358570681
"Southeast Asia",NA,2004,3.65269400069,"Regional","50-69",2827.40242471,18678.48424345,0.552916164912909
"Southeast Asia",NA,2005,3.56473394215,"Regional","Under 5",2780.48713887,18478.85672474,0.536380417213332
"Southeast Asia",NA,2005,3.56473394215,"Regional","70 or older",1581.41931889,18478.85672474,0.305069691636902
"Southeast Asia",NA,2005,3.56473394215,"Regional","5-14",1592.64513608,18478.85672474,0.307235250478645
"Southeast Asia",NA,2005,3.56473394215,"Regional","15-49",9654.56512483,18478.85672474,1.86245050274686
"Southeast Asia",NA,2005,3.56473394215,"Regional","50-69",2869.74000607,18478.85672474,0.553598080074265
"Southeast Asia",NA,2006,3.48880120135,"Regional","Under 5",2723.89968167,18340.26551739,0.518157410139805
"Southeast Asia",NA,2006,3.48880120135,"Regional","70 or older",1604.32208613,18340.26551739,0.305184285153098
"Southeast Asia",NA,2006,3.48880120135,"Regional","5-14",1519.29836941,18340.26551739,0.289010536482191
"Southeast Asia",NA,2006,3.48880120135,"Regional","15-49",9582.97540204,18340.26551739,1.8229341371009
"Southeast Asia",NA,2006,3.48880120135,"Regional","50-69",2909.76997814,18340.26551739,0.55351483247401
"Southeast Asia",NA,2007,3.40539210775,"Regional","Under 5",2630.39833592,18147.65435413,0.493592039973043
"Southeast Asia",NA,2007,3.40539210775,"Regional","70 or older",1624.04960853,18147.65435413,0.304751545933203
"Southeast Asia",NA,2007,3.40539210775,"Regional","5-14",1441.78199262,18147.65435413,0.270549180789684
"Southeast Asia",NA,2007,3.40539210775,"Regional","15-49",9487.01623991,18147.65435413,1.78023063471744
"Southeast Asia",NA,2007,3.40539210775,"Regional","50-69",2964.40817715,18147.65435413,0.556268706336628
"Southeast Asia",NA,2008,3.33803249278,"Regional","Under 5",2466.05847702,18047.31919562,0.456122221597662
"Southeast Asia",NA,2008,3.33803249278,"Regional","70 or older",1653.27193005,18047.31919562,0.3057892068118
"Southeast Asia",NA,2008,3.33803249278,"Regional","5-14",1406.25317339,18047.31919562,0.260100613003512
"Southeast Asia",NA,2008,3.33803249278,"Regional","15-49",9479.96375008,18047.31919562,1.75341427084769
"Southeast Asia",NA,2008,3.33803249278,"Regional","50-69",3041.77186508,18047.31919562,0.562606180519336
"Southeast Asia",NA,2009,3.28383109934,"Regional","Under 5",2368.43405879,17986.2644118,0.432415383257024
"Southeast Asia",NA,2009,3.28383109934,"Regional","70 or older",1701.91795149,17986.2644118,0.310726617249178
"Southeast Asia",NA,2009,3.28383109934,"Regional","5-14",1352.89926826,17986.2644118,0.247004747048635
"Southeast Asia",NA,2009,3.28383109934,"Regional","15-49",9435.16305593,17986.2644118,1.72261905869013
"Southeast Asia",NA,2009,3.28383109934,"Regional","50-69",3127.85007733,17986.2644118,0.57106529309503
"Southeast Asia",NA,2010,3.24668223727,"Regional","Under 5",2469.58446995,18024.15895361,0.444844946866085
"Southeast Asia",NA,2010,3.24668223727,"Regional","70 or older",1753.12178116,18024.15895361,0.315788900958584
"Southeast Asia",NA,2010,3.24668223727,"Regional","5-14",1288.40432756,18024.15895361,0.232079591368286
"Southeast Asia",NA,2010,3.24668223727,"Regional","15-49",9308.7701086,18024.15895361,1.67678384551576
"Southeast Asia",NA,2010,3.24668223727,"Regional","50-69",3204.27826634,18024.15895361,0.577184952561282
"Southeast Asia",NA,2011,3.07065789798,"Regional","Under 5",2010.45676361,17256.55321145,0.357743801098715
"Southeast Asia",NA,2011,3.07065789798,"Regional","70 or older",1725.82589969,17256.55321145,0.307096142809405
"Southeast Asia",NA,2011,3.07065789798,"Regional","5-14",1220.80965558,17256.55321145,0.217232767453796
"Southeast Asia",NA,2011,3.07065789798,"Regional","15-49",9086.88720119,17256.55321145,1.61693483110367
"Southeast Asia",NA,2011,3.07065789798,"Regional","50-69",3212.57369138,17256.55321145,0.571650355514412
"Southeast Asia",NA,2012,3.00201374777,"Regional","Under 5",2225.07726808,17151.78952574,0.389446975116055
"Southeast Asia",NA,2012,3.00201374777,"Regional","70 or older",1703.50069127,17151.78952574,0.29815737225866
"Southeast Asia",NA,2012,3.00201374777,"Regional","5-14",1165.72097056,17151.78952574,0.204031793559099
"Southeast Asia",NA,2012,3.00201374777,"Regional","15-49",8836.11495406,17151.78952574,1.54655224337705
"Southeast Asia",NA,2012,3.00201374777,"Regional","50-69",3221.37564177,17151.78952574,0.563825363459135
"Southeast Asia",NA,2013,2.97784973579,"Regional","Under 5",2591.10661578,17269.14994478,0.446804050916039
"Southeast Asia",NA,2013,2.97784973579,"Regional","70 or older",1704.48365626,17269.14994478,0.293916968795934
"Southeast Asia",NA,2013,2.97784973579,"Regional","5-14",1108.2176514,17269.14994478,0.191098325683184
"Southeast Asia",NA,2013,2.97784973579,"Regional","15-49",8618.43703477,17269.14994478,1.48614208162981
"Southeast Asia",NA,2013,2.97784973579,"Regional","50-69",3246.90498657,17269.14994478,0.559888308765037
"Southeast Asia",NA,2014,2.68970915149,"Regional","Under 5",1610.68361483,15711.7742139,0.275734006865408
"Southeast Asia",NA,2014,2.68970915149,"Regional","70 or older",1670.5477603,15711.7742139,0.285982190025674
"Southeast Asia",NA,2014,2.68970915149,"Regional","5-14",1016.10483313,15711.7742139,0.173947666974816
"Southeast Asia",NA,2014,2.68970915149,"Regional","15-49",8206.16500912,15711.7742139,1.40481888443509
"Southeast Asia",NA,2014,2.68970915149,"Regional","50-69",3208.27299652,15711.7742139,0.549226403189007
"Southeast Asia",NA,2015,2.58593862394,"Regional","Under 5",1303.37691057,15306.778602232,0.220193469976961
"Southeast Asia",NA,2015,2.58593862394,"Regional","70 or older",1674.65224619,15306.778602232,0.282917002827697
"Southeast Asia",NA,2015,2.58593862394,"Regional","5-14",958.812765802,15306.778602232,0.16198254568421
